5muy_A     5mus_A  5muyA     5musA gtm1=  0.99898 gtm2=  0.99898 gbest= 0.998980  gdtts=   0.9985
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26079 gtm2=  0.53366 gbest= 0.533660  gdtts=   0.5374
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26051 gtm2=  0.54843 gbest= 0.548430  gdtts=   0.5714
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26049 gtm2=  0.53946 gbest= 0.539460  gdtts=   0.5566
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25941 gtm2=  0.53734 gbest= 0.537340  gdtts=   0.5660
5muy_A     2xpo_C  5muyA     2xpoC gtm1=  0.25925 gtm2=  0.50150 gbest= 0.501500  gdtts=   0.5367
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25911 gtm2=  0.53024 gbest= 0.530240  gdtts=   0.5231
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25909 gtm2=  0.52879 gbest= 0.528790  gdtts=   0.5364
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25892 gtm2=  0.54009 gbest= 0.540090  gdtts=   0.5841
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25883 gtm2=  0.53246 gbest= 0.532460  gdtts=   0.5708
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25868 gtm2=  0.52701 gbest= 0.527010  gdtts=   0.5561
5muy_A     2xpo_A  5muyA     2xpoA gtm1=  0.25850 gtm2=  0.50061 gbest= 0.500610  gdtts=   0.5370
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25791 gtm2=  0.52493 gbest= 0.524930  gdtts=   0.5301
5muy_A     6w17_H  5muyA     6w17H gtm1=  0.25786 gtm2=  0.52603 gbest= 0.526030  gdtts=   0.5467
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25785 gtm2=  0.53181 gbest= 0.531810  gdtts=   0.5385
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25761 gtm2=  0.52284 gbest= 0.522840  gdtts=   0.5394
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25723 gtm2=  0.51502 gbest= 0.515020  gdtts=   0.5229
5muy_A     6tbl_A  5muyA     6tblA gtm1=  0.25687 gtm2=  0.56993 gbest= 0.569930  gdtts=   0.5421
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25593 gtm2=  0.53007 gbest= 0.530070  gdtts=   0.5769
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25563 gtm2=  0.52791 gbest= 0.527910  gdtts=   0.5595
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25556 gtm2=  0.52091 gbest= 0.520910  gdtts=   0.5405
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25528 gtm2=  0.52958 gbest= 0.529580  gdtts=   0.5485
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25503 gtm2=  0.52703 gbest= 0.527030  gdtts=   0.5143
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25497 gtm2=  0.52282 gbest= 0.522820  gdtts=   0.5613
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.25458 gtm2=  0.53202 gbest= 0.532020  gdtts=   0.5866
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25446 gtm2=  0.52307 gbest= 0.523070  gdtts=   0.5467
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.25402 gtm2=  0.51993 gbest= 0.519930  gdtts=   0.5401
5muy_A     5ica_B  5muyA     5icaB gtm1=  0.25346 gtm2=  0.51202 gbest= 0.512020  gdtts=   0.5809
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25310 gtm2=  0.52044 gbest= 0.520440  gdtts=   0.5524
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25304 gtm2=  0.51665 gbest= 0.516650  gdtts=   0.5259
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25300 gtm2=  0.51992 gbest= 0.519920  gdtts=   0.5613
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25286 gtm2=  0.52275 gbest= 0.522750  gdtts=   0.5655
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25243 gtm2=  0.50878 gbest= 0.508780  gdtts=   0.5401
5muy_A     3d9i_B  5muyA     3d9iB gtm1=  0.25171 gtm2=  0.50165 gbest= 0.501650  gdtts=   0.5655
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.25136 gtm2=  0.51653 gbest= 0.516530  gdtts=   0.5481
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.25075 gtm2=  0.51656 gbest= 0.516560  gdtts=   0.5649
5muy_A     2bf0_X  5muyA     2bf0X gtm1=  0.24976 gtm2=  0.51064 gbest= 0.510640  gdtts=   0.5515
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.24954 gtm2=  0.51051 gbest= 0.510510  gdtts=   0.5539
5muy_A     4q2s_A  5muyA     4q2sA gtm1=  0.24881 gtm2=  0.50090 gbest= 0.500900  gdtts=   0.5601
5muy_A     6tbl_B  5muyA     6tblB gtm1=  0.24724 gtm2=  0.53611 gbest= 0.536110  gdtts=   0.5437
5muy_A     9eh0_O  5muyA     9eh0O gtm1=  0.24688 gtm2=  0.50295 gbest= 0.502950  gdtts=   0.5357
5muy_A     6g4j_B  5muyA     6g4jB gtm1=  0.24584 gtm2=  0.52029 gbest= 0.520290  gdtts=   0.5437
5muy_A     5woz_A  5muyA     5wozA gtm1=  0.24492 gtm2=  0.50002 gbest= 0.500020  gdtts=   0.5322
5muy_A     2nbw_A  5muyA     2nbwA gtm1=  0.24408 gtm2=  0.50267 gbest= 0.502670  gdtts=   0.4712
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.24182 gtm2=  0.55190 gbest= 0.551900  gdtts=   0.5052
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.24097 gtm2=  0.55084 gbest= 0.550840  gdtts=   0.5332
5muy_A     8yf5_E  5muyA     8yf5E gtm1=  0.24079 gtm2=  0.50169 gbest= 0.501690  gdtts=   0.5475
5muy_A     5wf2_A  5muyA     5wf2A gtm1=  0.23851 gtm2=  0.54597 gbest= 0.545970  gdtts=   0.5799
5muy_A     5wf1_A  5muyA     5wf1A gtm1=  0.23830 gtm2=  0.54850 gbest= 0.548500  gdtts=   0.5825
5muy_A     5t87_D  5muyA     5t87D gtm1=  0.23672 gtm2=  0.51536 gbest= 0.515360  gdtts=   0.5025
5muy_A     3dwl_L  5muyA     3dwlL gtm1=  0.23656 gtm2=  0.53925 gbest= 0.539250  gdtts=   0.5696
5muy_A     3dwl_G  5muyA     3dwlG gtm1=  0.23651 gtm2=  0.53864 gbest= 0.538640  gdtts=   0.5696
5muy_A     5t87_A  5muyA     5t87A gtm1=  0.23503 gtm2=  0.51949 gbest= 0.519490  gdtts=   0.5150
5muy_A     5t87_C  5muyA     5t87C gtm1=  0.23498 gtm2=  0.51494 gbest= 0.514940  gdtts=   0.5075
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.23446 gtm2=  0.52374 gbest= 0.523740  gdtts=   0.5129
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.23420 gtm2=  0.52550 gbest= 0.525500  gdtts=   0.5464
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.23341 gtm2=  0.53167 gbest= 0.531670  gdtts=   0.5286
5muy_A     5t87_B  5muyA     5t87B gtm1=  0.23341 gtm2=  0.52354 gbest= 0.523540  gdtts=   0.5255
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.23255 gtm2=  0.52475 gbest= 0.524750  gdtts=   0.5443
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.23209 gtm2=  0.52573 gbest= 0.525730  gdtts=   0.5479
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.23166 gtm2=  0.52729 gbest= 0.527290  gdtts=   0.5591
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22933 gtm2=  0.51421 gbest= 0.514210  gdtts=   0.5665
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22933 gtm2=  0.52042 gbest= 0.520420  gdtts=   0.5505
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22872 gtm2=  0.51986 gbest= 0.519860  gdtts=   0.5426
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.22853 gtm2=  0.51644 gbest= 0.516440  gdtts=   0.5184
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.22816 gtm2=  0.51471 gbest= 0.514710  gdtts=   0.5079
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22803 gtm2=  0.51196 gbest= 0.511960  gdtts=   0.5505
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22777 gtm2=  0.52036 gbest= 0.520360  gdtts=   0.5625
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22775 gtm2=  0.51420 gbest= 0.514200  gdtts=   0.5376
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22739 gtm2=  0.51360 gbest= 0.513600  gdtts=   0.5672
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22738 gtm2=  0.52177 gbest= 0.521770  gdtts=   0.5444
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22684 gtm2=  0.51565 gbest= 0.515650  gdtts=   0.5652
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22672 gtm2=  0.51324 gbest= 0.513240  gdtts=   0.5353
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22630 gtm2=  0.51074 gbest= 0.510740  gdtts=   0.5591
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.22604 gtm2=  0.50585 gbest= 0.505850  gdtts=   0.5079
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.22362 gtm2=  0.50670 gbest= 0.506700  gdtts=   0.5160
5muy_A     5ks6_A  5muyA     5ks6A gtm1=  0.22321 gtm2=  0.50102 gbest= 0.501020  gdtts=   0.5852
5muy_A     8tzm_A  5muyA     8tzmA gtm1=  0.22318 gtm2=  0.50275 gbest= 0.502750  gdtts=   0.5412
5muy_A     6qhg_B  5muyA     6qhgB gtm1=  0.22194 gtm2=  0.51602 gbest= 0.516020  gdtts=   0.6092
5muy_A     5aiz_A  5muyA     5aizA gtm1=  0.22089 gtm2=  0.50983 gbest= 0.509830  gdtts=   0.5591
5muy_A     4zhb_A  5muyA     4zhbA gtm1=  0.21995 gtm2=  0.51959 gbest= 0.519590  gdtts=   0.5269
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.21939 gtm2=  0.50137 gbest= 0.501370  gdtts=   0.5109
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.21838 gtm2=  0.50575 gbest= 0.505750  gdtts=   0.5192
5muy_A     6zv4_A  5muyA     6zv4A gtm1=  0.21704 gtm2=  0.50029 gbest= 0.500290  gdtts=   0.5785
5muy_A     5izw_B  5muyA     5izwB gtm1=  0.21604 gtm2=  0.50056 gbest= 0.500560  gdtts=   0.5108
5muy_A     5izw_A  5muyA     5izwA gtm1=  0.21597 gtm2=  0.50123 gbest= 0.501230  gdtts=   0.5134
5muy_A     2eqx_A  5muyA     2eqxA gtm1=  0.21407 gtm2=  0.50948 gbest= 0.509480  gdtts=   0.5167
5muy_A     2k9s_A  5muyA     2k9sA gtm1=  0.21359 gtm2=  0.50400 gbest= 0.504000  gdtts=   0.5142
5muy_A     1te4_A  5muyA     1te4A gtm1=  0.21201 gtm2=  0.50388 gbest= 0.503880  gdtts=   0.5436
5muy_A     8pw7_r  5muyA     8pw7r gtm1=  0.21199 gtm2=  0.50131 gbest= 0.501310  gdtts=   0.5337
5muy_A     2eqx_A  5muyA     2eqxA gtm1=  0.21147 gtm2=  0.50088 gbest= 0.500880  gdtts=   0.5169
5muy_A     6xya_B  5muyA     6xyaB gtm1=  0.21115 gtm2=  0.50682 gbest= 0.506820  gdtts=   0.6159
5muy_A     2kcv_A  5muyA     2kcvA gtm1=  0.21105 gtm2=  0.50938 gbest= 0.509380  gdtts=   0.5197
5muy_A     6hu9_f  5muyA     6hu9f gtm1=  0.21034 gtm2=  0.52398 gbest= 0.523980  gdtts=   0.5739
5muy_A     2kcv_A  5muyA     2kcvA gtm1=  0.21004 gtm2=  0.51099 gbest= 0.510990  gdtts=   0.5056
5muy_A     2kcv_A  5muyA     2kcvA gtm1=  0.20982 gtm2=  0.50964 gbest= 0.509640  gdtts=   0.5199
5muy_A     7cnf_A  5muyA     7cnfA gtm1=  0.20965 gtm2=  0.53188 gbest= 0.531880  gdtts=   0.4598
5muy_A     6giq_f  5muyA     6giqf gtm1=  0.20891 gtm2=  0.52813 gbest= 0.528130  gdtts=   0.5739
5muy_A     1wjt_A  5muyA     1wjtA gtm1=  0.20874 gtm2=  0.52610 gbest= 0.526100  gdtts=   0.5305
5muy_A     2kcl_A  5muyA     2kclA gtm1=  0.20745 gtm2=  0.51359 gbest= 0.513590  gdtts=   0.5262
5muy_A     7cnf_A  5muyA     7cnfA gtm1=  0.20729 gtm2=  0.51716 gbest= 0.517160  gdtts=   0.4688
5muy_A     5u0k_J  5muyA     5u0kJ gtm1=  0.20716 gtm2=  0.51494 gbest= 0.514940  gdtts=   0.5393
5muy_A     6py8_B  5muyA     6py8B gtm1=  0.20694 gtm2=  0.50910 gbest= 0.509100  gdtts=   0.5199
5muy_A     2kcv_A  5muyA     2kcvA gtm1=  0.20683 gtm2=  0.50004 gbest= 0.500040  gdtts=   0.5291
5muy_A     1wjt_A  5muyA     1wjtA gtm1=  0.20650 gtm2=  0.51870 gbest= 0.518700  gdtts=   0.5648
5muy_A     8pw5_r  5muyA     8pw5r gtm1=  0.20631 gtm2=  0.50420 gbest= 0.504200  gdtts=   0.5774
5muy_A     5u0k_A  5muyA     5u0kA gtm1=  0.20625 gtm2=  0.51427 gbest= 0.514270  gdtts=   0.5426
5muy_A     2kcl_A  5muyA     2kclA gtm1=  0.20547 gtm2=  0.50390 gbest= 0.503900  gdtts=   0.5233
5muy_A     7cnf_A  5muyA     7cnfA gtm1=  0.20512 gtm2=  0.51689 gbest= 0.516890  gdtts=   0.5000
5muy_A     5cuk_A  5muyA     5cukA gtm1=  0.20500 gtm2=  0.52831 gbest= 0.528310  gdtts=   0.5744
5muy_A     2kcv_A  5muyA     2kcvA gtm1=  0.20467 gtm2=  0.50275 gbest= 0.502750  gdtts=   0.5324
5muy_A     1wjt_A  5muyA     1wjtA gtm1=  0.20384 gtm2=  0.50170 gbest= 0.501700  gdtts=   0.5301
5muy_A     8ucj_f  5muyA     8ucjf gtm1=  0.20367 gtm2=  0.51151 gbest= 0.511510  gdtts=   0.5640
5muy_A     6ymy_f  5muyA     6ymyf gtm1=  0.20310 gtm2=  0.51248 gbest= 0.512480  gdtts=   0.5647
5muy_A     5u0k_I  5muyA     5u0kI gtm1=  0.20307 gtm2=  0.50512 gbest= 0.505120  gdtts=   0.5407
5muy_A     7cnf_A  5muyA     7cnfA gtm1=  0.20290 gtm2=  0.53777 gbest= 0.537770  gdtts=   0.5392
5muy_A     5u0k_G  5muyA     5u0kG gtm1=  0.20287 gtm2=  0.50445 gbest= 0.504450  gdtts=   0.5172
5muy_A     2lsi_A  5muyA     2lsiA gtm1=  0.20244 gtm2=  0.50344 gbest= 0.503440  gdtts=   0.5500
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.20187 gtm2=  0.51465 gbest= 0.514650  gdtts=   0.5536
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.20158 gtm2=  0.51484 gbest= 0.514840  gdtts=   0.5655
5muy_A     8gab_A  5muyA     8gabA gtm1=  0.20131 gtm2=  0.51650 gbest= 0.516500  gdtts=   0.6494
5muy_A     5u0k_E  5muyA     5u0kE gtm1=  0.20051 gtm2=  0.50332 gbest= 0.503320  gdtts=   0.5324
5muy_A     8gab_C  5muyA     8gabC gtm1=  0.20041 gtm2=  0.51874 gbest= 0.518740  gdtts=   0.6494
5muy_A     7f4u_C  5muyA     7f4uC gtm1=  0.20034 gtm2=  0.51108 gbest= 0.511080  gdtts=   0.5602
5muy_A     4fjo_A  5muyA     4fjoA gtm1=  0.20003 gtm2=  0.51112 gbest= 0.511120  gdtts=   0.5793
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19997 gtm2=  0.53330 gbest= 0.533300  gdtts=   0.5122
5muy_A     2lsk_A  5muyA     2lskA gtm1=  0.19995 gtm2=  0.50239 gbest= 0.502390  gdtts=   0.5179
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19994 gtm2=  0.54343 gbest= 0.543430  gdtts=   0.5340
5muy_A     8gac_A  5muyA     8gacA gtm1=  0.19987 gtm2=  0.50660 gbest= 0.506600  gdtts=   0.6186
5muy_A     4jw3_C  5muyA     4jw3C gtm1=  0.19957 gtm2=  0.50920 gbest= 0.509200  gdtts=   0.5864
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19956 gtm2=  0.51480 gbest= 0.514800  gdtts=   0.5640
5muy_A     2lsk_A  5muyA     2lskA gtm1=  0.19925 gtm2=  0.50564 gbest= 0.505640  gdtts=   0.5120
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19922 gtm2=  0.51099 gbest= 0.510990  gdtts=   0.5671
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19900 gtm2=  0.51678 gbest= 0.516780  gdtts=   0.5185
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19900 gtm2=  0.52953 gbest= 0.529530  gdtts=   0.5525
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19889 gtm2=  0.54359 gbest= 0.543590  gdtts=   0.5475
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19887 gtm2=  0.51195 gbest= 0.511950  gdtts=   0.5802
5muy_A     5u0k_H  5muyA     5u0kH gtm1=  0.19859 gtm2=  0.50035 gbest= 0.500350  gdtts=   0.5327
5muy_A     2qzi_A  5muyA     2qziA gtm1=  0.19858 gtm2=  0.51208 gbest= 0.512080  gdtts=   0.6122
5muy_A     7cnf_A  5muyA     7cnfA gtm1=  0.19857 gtm2=  0.51750 gbest= 0.517500  gdtts=   0.5617
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19851 gtm2=  0.51369 gbest= 0.513690  gdtts=   0.5802
5muy_A     2mm9_A  5muyA     2mm9A gtm1=  0.19817 gtm2=  0.51687 gbest= 0.516870  gdtts=   0.4849
5muy_A     4jw3_D  5muyA     4jw3D gtm1=  0.19805 gtm2=  0.50785 gbest= 0.507850  gdtts=   0.5969
5muy_A     4ext_A  5muyA     4extA gtm1=  0.19799 gtm2=  0.50746 gbest= 0.507460  gdtts=   0.5772
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19797 gtm2=  0.51432 gbest= 0.514320  gdtts=   0.5152
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19782 gtm2=  0.50641 gbest= 0.506410  gdtts=   0.5732
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19780 gtm2=  0.51857 gbest= 0.518570  gdtts=   0.5679
5muy_A     7xgw_E  5muyA     7xgwE gtm1=  0.19778 gtm2=  0.51247 gbest= 0.512470  gdtts=   0.6090
5muy_A     4gk5_E  5muyA     4gk5E gtm1=  0.19763 gtm2=  0.50553 gbest= 0.505530  gdtts=   0.5772
5muy_A     2lsi_A  5muyA     2lsiA gtm1=  0.19760 gtm2=  0.50235 gbest= 0.502350  gdtts=   0.5938
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19750 gtm2=  0.50744 gbest= 0.507440  gdtts=   0.5802
5muy_A     5u0k_D  5muyA     5u0kD gtm1=  0.19749 gtm2=  0.50142 gbest= 0.501420  gdtts=   0.5327
5muy_A     6g6i_A  5muyA     6g6iA gtm1=  0.19745 gtm2=  0.53897 gbest= 0.538970  gdtts=   0.6203
5muy_A     2lsi_A  5muyA     2lsiA gtm1=  0.19739 gtm2=  0.50859 gbest= 0.508590  gdtts=   0.6122
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19734 gtm2=  0.52311 gbest= 0.523110  gdtts=   0.5781
5muy_A     4gk0_E  5muyA     4gk0E gtm1=  0.19729 gtm2=  0.51100 gbest= 0.511000  gdtts=   0.5906
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19722 gtm2=  0.50598 gbest= 0.505980  gdtts=   0.5061
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19713 gtm2=  0.50758 gbest= 0.507580  gdtts=   0.5710
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19710 gtm2=  0.50750 gbest= 0.507500  gdtts=   0.5875
5muy_A     3f9k_G  5muyA     3f9kG gtm1=  0.19704 gtm2=  0.50155 gbest= 0.501550  gdtts=   0.5732
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19697 gtm2=  0.50853 gbest= 0.508530  gdtts=   0.5772
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19692 gtm2=  0.50826 gbest= 0.508260  gdtts=   0.5802
5muy_A     5u0i_B  5muyA     5u0iB gtm1=  0.19686 gtm2=  0.51006 gbest= 0.510060  gdtts=   0.5549
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19680 gtm2=  0.50473 gbest= 0.504730  gdtts=   0.4970
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19663 gtm2=  0.50583 gbest= 0.505830  gdtts=   0.5710
5muy_A     4gk5_F  5muyA     4gk5F gtm1=  0.19651 gtm2=  0.50570 gbest= 0.505700  gdtts=   0.5719
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19641 gtm2=  0.52460 gbest= 0.524600  gdtts=   0.5556
5muy_A     2qzi_B  5muyA     2qziB gtm1=  0.19639 gtm2=  0.50521 gbest= 0.505210  gdtts=   0.6058
5muy_A     2lsi_A  5muyA     2lsiA gtm1=  0.19626 gtm2=  0.50668 gbest= 0.506680  gdtts=   0.6169
5muy_A     6zuz_A  5muyA     6zuzA gtm1=  0.19626 gtm2=  0.53228 gbest= 0.532280  gdtts=   0.5281
5muy_A    6sg9_FY  5muyA    6sg9FY gtm1=  0.19621 gtm2=  0.52453 gbest= 0.524530  gdtts=   0.5886
5muy_A     2lsk_A  5muyA     2lskA gtm1=  0.19617 gtm2=  0.50894 gbest= 0.508940  gdtts=   0.5335
5muy_A     6g6i_B  5muyA     6g6iB gtm1=  0.19617 gtm2=  0.50929 gbest= 0.509290  gdtts=   0.6410
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19607 gtm2=  0.52166 gbest= 0.521660  gdtts=   0.5586
5muy_A     2lsi_A  5muyA     2lsiA gtm1=  0.19601 gtm2=  0.50068 gbest= 0.500680  gdtts=   0.6122
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19596 gtm2=  0.51870 gbest= 0.518700  gdtts=   0.5518
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19595 gtm2=  0.51252 gbest= 0.512520  gdtts=   0.6026
5muy_A     6zv3_A  5muyA     6zv3A gtm1=  0.19594 gtm2=  0.52953 gbest= 0.529530  gdtts=   0.5594
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19594 gtm2=  0.52781 gbest= 0.527810  gdtts=   0.5929
5muy_A     2lsg_A  5muyA     2lsgA gtm1=  0.19594 gtm2=  0.50474 gbest= 0.504740  gdtts=   0.5864
5muy_A   6ws5_HHH  5muyA   6ws5HHH gtm1=  0.19586 gtm2=  0.50269 gbest= 0.502690  gdtts=   0.5710
5muy_A     6zv3_A  5muyA     6zv3A gtm1=  0.19561 gtm2=  0.54029 gbest= 0.540290  gdtts=   0.5538
5muy_A     3hph_H  5muyA     3hphH gtm1=  0.19551 gtm2=  0.50668 gbest= 0.506680  gdtts=   0.5542
5muy_A     2qzi_C  5muyA     2qziC gtm1=  0.19549 gtm2=  0.50518 gbest= 0.505180  gdtts=   0.6234
5muy_A     6zv0_A  5muyA     6zv0A gtm1=  0.19527 gtm2=  0.52340 gbest= 0.523400  gdtts=   0.5801
5muy_A     6zv3_A  5muyA     6zv3A gtm1=  0.19525 gtm2=  0.52455 gbest= 0.524550  gdtts=   0.5705
5muy_A     6zv3_A  5muyA     6zv3A gtm1=  0.19522 gtm2=  0.53104 gbest= 0.531040  gdtts=   0.5545
